"year","state","state_po","county_name","county_fips","office","candidate","party","candidatevotes","totalvotes","version","mode"
2016,"ALABAMA","AL","CRENSHAW",1041,"US PRESIDENT","DONALD TRUMP","REPUBLICAN",4513,6267,20220315,"TOTAL"
2016,"ALABAMA","AL","CRENSHAW",1041,"US PRESIDENT","OTHER","OTHER",90,6267,20220315,"TOTAL"
2016,"ALABAMA","AL","CULLMAN",1043,"US PRESIDENT","HILLARY CLINTON","DEMOCRAT",3798,37873,20220315,"TOTAL"
2016,"ALABAMA","AL","CULLMAN",1043,"US PRESIDENT","DONALD TRUMP","REPUBLICAN",32989,37873,20220315,"TOTAL"
2016,"ALABAMA","AL","CULLMAN",1043,"US PRESIDENT","OTHER","OTHER",1086,37873,20220315,"TOTAL"
2016,"ALABAMA","AL","DALE",1045,"US PRESIDENT","HILLARY CLINTON","DEMOCRAT",4413,18749,20220315,"TOTAL"
2016,"ALABAMA","AL","DALE",1045,"US PRESIDENT","DONALD TRUMP","REPUBLICAN",13808,18749,20220315,"TOTAL"
2016,"ALABAMA","AL","DALE",1045,"US PRESIDENT","OTHER","OTHER",528,18749,20220315,"TOTAL"
2016,"ALABAMA","AL","DALLAS",1047,"US PRESIDENT","HILLARY CLINTON","DEMOCRAT",12836,18792,20220315,"TOTAL"
2016,"ALABAMA","AL","DALLAS",1047,"US PRESIDENT","DONALD TRUMP","REPUBLICAN",5789,18792,20220315,"TOTAL"
2016,"ALABAMA","AL","DALLAS",1047,"US PRESIDENT","OTHER","OTHER",167,18792,20220315,"TOTAL"
2016,"ALABAMA","AL","DEKALB",1049,"US PRESIDENT","HILLARY CLINTON","DEMOCRAT",3622,25826,20220315,"TOTAL"
2016,"ALABAMA","AL","DEKALB",1049,"US PRESIDENT","DONALD TRUMP","REPUBLICAN",21405,25826,20220315,"TOTAL"
2016,"ALABAMA","AL","DEKALB",1049,"US PRESIDENT","OTHER","OTHER",799,25826,20220315,"TOTAL"
